month,day,slp,maxtemp,avgtemp,mintemp,dewtemp,rh,cld,rf,sunhr,prewd,avgws
1,01,1016.8,24.9,21.5,19.6,17.5,79,36,  0.0,6.0,030,10.1
1,02,1018.8,21.9,20.3,19.2,16.8,80,60,  0.0,6.5, 060#, 28.7#
1,03,1018.7,21.8,20.6,19.5,17.3,82,80,  0.0,1.0, 040#, 28.6#
1,04,1019.8,25.2,21.2,17.7,17.2,78,38,  0.0,5.4,010,18.4
1,05,1023.7,18.7,17.0,15.2,11.3,69,70,  0.0,2.6,010,29.0
1,06,1023.1,19.3,18.2,16.9,14.0,77,79,  0.0,1.1, 060#, 33.5#
1,07,1019.2,20.5,19.1,17.9,15.9,81,86,Trace,1.4, 070#, 32.7#
1,08,1015.4,25.9,21.7,19.1,19.3,87,55,Trace,7.1,130,10.7
1,09,1014.8,22.3,20.7,19.7,19.0,90,89,  0.1,0.2,070,30.0
1,10,1014.5,23.0,21.2,19.8,19.4,90,73,Trace,4.3,030,22.8
1,11,1015.0,24.5,21.2,19.2,18.1,83,40,  0.0,7.3, 360#, 15.0#
1,12,1016.3,19.7,18.5,16.4,14.7,78,79,  0.2,0.0, 080#, 34.2#
1,13,1013.9,21.1,19.6,17.8,17.8,90,94,  1.7,0.2,070,37.3
1,14,1008.6,24.5,21.0,17.6,19.1,89,89, 31.8,0.8, 010#, 19.8#
1,15,1011.0,17.9,14.6,13.0,11.1,80,59, 13.2,7.6, 010#, 28.7#
1,16,1010.7,18.0,15.9,13.6,13.4,85,94,  1.2,0.0, 060#, 38.0#
1,17,1012.6,18.0,16.0,13.0,12.6,80,73,  0.0,2.5, 010#, 26.5#
1,18,1018.9,15.6,12.7,10.2, 6.6,67,19,  0.0,9.1,360,26.6
1,19,1023.0,13.2,12.1,10.9, 8.0,76,95,Trace,0.0, 020#, 35.0#
1,20,1022.0,14.7,13.3,12.1,11.0,86,100,Trace,0.0, 060#, 37.5#
1,21,1021.2,15.8,14.1,11.9,12.6,91,99,Trace,0.0, 060#, 34.2#
1,22,1017.1,18.7,17.4,15.8,16.3,93,99,Trace,0.0,070,28.4
1,23,1018.1,18.7,14.2,12.0,10.4,78,93,  0.6,1.1, 010#, 22.3#
1,24,1025.4,13.8,10.8, 9.7, 7.2,79,99,  0.1,0.0,010,36.1
1,25,1026.4,12.3,11.4,10.4, 6.3,71,100,Trace,0.0,050,31.0
1,26,1023.5,14.7,12.6,10.5, 9.5,81,100,  0.0,0.0, 070#, 36.8#
1,27,1022.2,15.9,15.0,13.9,13.5,91,100,Trace,0.0,050,26.8
1,28,1027.0,17.8,14.8,13.0, 8.7,68,69,Trace,7.5,360,33.6
1,29,1028.9,14.4,13.4,12.2, 6.5,63,91,  0.0,0.0, 060#, 32.1#
1,30,1024.9,17.0,15.4,13.9,10.9,75,66,  0.0,6.9,060,32.4
1,31,1022.7,18.4,16.7,14.7,14.1,85,67,  0.0,7.4, 050#, 30.0#
2,01,1016.8,24.9,21.5,19.6,17.5,79,36,  0.0,6.0,030,10.1
2,02,1018.8,21.9,20.3,19.2,16.8,80,60,  0.0,6.5, 060#, 28.7#
2,03,1018.7,21.8,20.6,19.5,17.3,82,80,  0.0,1.0, 040#, 28.6#
2,04,1019.8,25.2,21.2,17.7,17.2,78,38,  0.0,5.4,010,18.4
